raw_gps_input_alt_m	raw_gps_input_fix_type	raw_gps_input_lat	raw_gps_input_lon	syn_outputs_optical_flow_gps_port_six_parameters_altitude_m	syn_outputs_optical_flow_gps_port_six_parameters_course_deg	syn_outputs_optical_flow_gps_port_six_parameters_fix_type	syn_outputs_optical_flow_gps_port_six_parameters_hdop	syn_outputs_optical_flow_gps_port_six_parameters_heading_deg	syn_outputs_optical_flow_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_optical_flow_gps_port_six_parameters_latitude	syn_outputs_optical_flow_gps_port_six_parameters_longitude	syn_outputs_optical_flow_gps_port_six_parameters_pdop	syn_outputs_optical_flow_gps_port_six_parameters_satellites	syn_outputs_optical_flow_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_optical_flow_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_altitude_m	syn_outputs_vo_gps_port_six_parameters_course_deg	syn_outputs_vo_gps_port_six_parameters_fix_type	syn_outputs_vo_gps_port_six_parameters_hdop	syn_outputs_vo_gps_port_six_parameters_heading_deg	syn_outputs_vo_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_vo_gps_port_six_parameters_latitude	syn_outputs_vo_gps_port_six_parameters_longitude	syn_outputs_vo_gps_port_six_parameters_pdop	syn_outputs_vo_gps_port_six_parameters_satellites	syn_outputs_vo_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_vo_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_ubx_message_hex	syn_outputs_vo_gps_port_six_parameters_vdop	syn_outputs_vo_gps_port_six_parameters_velocity_down_mps	syn_outputs_vo_gps_port_six_parameters_velocity_east_mps	syn_outputs_vo_gps_port_six_parameters_velocity_north_mps	syn_outputs_vo_gps_port_six_parameters_vertical_accuracy_m
932.2	3	12.887792	77.64298933	958.0184463	190.5612281	3	0.7	190.5612281	0.5	12.88777666	77.64299283	0.7	19	1	2026-03-07T12:47:16.790271Z	960.6543999	205.9545367	3	1.3	190.5612281	0.5	12.8878025	77.64294165	1.3	10	0.5	1772887637		1.3	0	-0.043942341	-0.090276887	0.1
932.2	3	12.887792	77.64298933	958.0354463	190.5612281	3	0.7	190.5612281	0.5	12.8877756	77.64299231	0.7	19	1	2026-03-07T12:47:16.991194Z	960.7491944	151.5467197	3	1.3	190.5612281	0.5	12.88779991	77.64294309	1.3	10	0.5	1772887637		1.3	0	0.404240234	-0.745967812	0.1
932.2	3	12.88779217	77.64298933	958.0444463	190.5612281	3	0.7	190.5612281	0.5	12.88777323	77.6429917	0.7	19	1	2026-03-07T12:47:17.244219Z	960.6489228	164.8036023	3	1.3	190.5612281	0.5	12.88779581	77.64294424	1.3	10	0.5	1772887637		1.3	0	0.287285477	-1.057649028	0.1
932.2	3	12.88779217	77.64298933	957.9704463	190.5612281	3	0.7	190.5612281	0.5	12.88777365	77.64299115	0.7	19	1	2026-03-07T12:47:17.381059Z	960.6283637	136.6693838	3	1.3	190.5612281	0.5	12.88779171	77.6429482	1.3	10	0.5	1772887637		1.3	0	1.15066992	-1.219754741	0.1
932.2	3	12.88779233	77.64298933	958.0754463	190.5612281	3	0.7	190.5612281	0.5	12.88777569	77.64299062	0.7	19	1	2026-03-07T12:47:17.611804Z	960.8008663	146.5943787	3	1.3	190.5612281	0.5	12.88778638	77.64295181	1.3	10	0.5	1772887638		1.3	0	0.93238849	-1.413739539	0.1
932.2	3	12.88779233	77.64298933	958.0104463	190.5612281	3	0.7	190.5612281	0.5	12.88777785	77.64299007	0.7	19	1	2026-03-07T12:47:17.789710Z	960.8306694	121.2453114	3	1.3	190.5612281	0.5	12.88778434	77.64295526	1.3	10	0.5	1772887638		1.3	0	0.994846232	-0.603576131	0.1
932.2	3	12.8877925	77.64298933	957.9924463	190.5612281	3	0.7	190.5612281	0.5	12.88777785	77.64299007	0.7	19	1	2026-03-07T12:47:18.004957Z	960.6031503	123.5819039	3	1.3	190.5612281	0.5	12.88778158	77.64295953	1.3	10	0.5	1772887638		1.3	0	1.143706563	-0.759356256	0.1
932.2	3	12.88779267	77.64298917	958.1844463	190.5612281	3	0.7	190.5612281	0.5	12.88778011	77.64298949	0.7	19	1	2026-03-07T12:47:18.201067Z	960.7295894	112.4407918	3	1.3	190.5612281	0.5	12.88778015	77.64296308	1.3	10	0.5	1772887638		1.3	0	0.96706959	-0.39940303	0.1
932.2	3	12.88779267	77.64298917	958.0984463	190.5612281	3	0.7	190.5612281	0.5	12.88778216	77.64298896	0.7	19	1	2026-03-07T12:47:18.396556Z	960.8149927	131.2974563	3	1.3	190.5612281	0.5	12.88777817	77.64296539	1.3	10	0.5	1772887638		1.3	0	0.640170149	-0.562352863	0.1
932.2	3	12.88779267	77.64298917	958.0784463	190.5612281	3	0.7	190.5612281	0.5	12.88778373	77.64298844	0.7	19	1	2026-03-07T12:47:18.593358Z	960.8209888	134.5629308	3	1.3	190.5612281	0.5	12.88777531	77.64296837	1.3	10	0.5	1772887639		1.3	0	0.809027227	-0.796777436	0.1
